Objects
100
,,Global Angle (Quaternion) nb01b:nb01b,,,,,,,Global Angle (Quaternion) nb02b:nb02b,,,,,,,Global Angle (Quaternion) nb04:ID,,,,,,,Global Angle (Quaternion) nb05:ID,,,,,,,Global Angle (Quaternion) nb08:ID,,,,,,,Global Angle (Quaternion) nb10b:nb10b,,,,,,,Global Angle (Quaternion) nb15b:nb15b,,,,,,,Global Angle (Quaternion) nb17b:nb17b,,,,,,,Global Angle (Quaternion) nb19:ID,,,,,,,Global Angle (Quaternion) nb20:ID,,,,,,,
Frame,Sub Frame,RX,RY,RZ,RW,TX,TY,TZ,RX,RY,RZ,RW,TX,TY,TZ,RX,RY,RZ,RW,TX,TY,TZ,RX,RY,RZ,RW,TX,TY,TZ,RX,RY,RZ,RW,TX,TY,TZ,RX,RY,RZ,RW,TX,TY,TZ,RX,RY,RZ,RW,TX,TY,TZ,RX,RY,RZ,RW,TX,TY,TZ,RX,RY,RZ,RW,TX,TY,TZ,RX,RY,RZ,RW,TX,TY,TZ
,,,,,,mm,mm,mm,,,,,mm,mm,mm,,,,,mm,mm,mm,,,,,mm,mm,mm,,,,,mm,mm,mm,,,,,mm,mm,mm,,,,,mm,mm,mm,,,,,mm,mm,mm,,,,,mm,mm,mm,,,,,mm,mm,mm
1020,0,-0.105575,-0.353428,-0.297991,0.880422,-35.6525,-5353.03,1630.24,0.670835,-0.130167,0.680949,0.263336,-346.465,-5722.02,1690.18,-0.352425,-0.230154,-0.277709,0.863541,719.194,-5578.38,1649.09,-0.0204568,-0.350715,-0.229794,0.907621,789.346,-5450.71,1610.64,,,,,,,,,,,,,,,-0.299081,-0.549695,-0.454338,0.634005,-338.522,-5922.06,1719.12,0.727358,-0.623983,0.196418,0.207402,-87.467,-6083.43,1690.25,-0.0827689,-0.278812,-0.781723,0.551655,-426.855,-6176.24,1721.9,-0.182968,-0.347589,-0.470314,0.790259,562.898,-5799.99,1708.11
1021,0,-0.0925135,-0.383013,-0.297621,0.869577,-34.9554,-5352.57,1630.92,0.692773,-0.108685,0.658514,0.273151,-343.264,-5716.04,1691.6,-0.35195,-0.231386,-0.276649,0.863746,719.259,-5578.33,1649.18,-0.0119638,-0.356347,-0.236325,0.903894,789.462,-5451.33,1610.82,,,,,,,,,,,,,,,-0.290919,-0.553138,-0.455949,0.633653,-338.678,-5922.19,1719.03,0.728452,-0.622293,0.197657,0.207462,-87.3402,-6083.52,1690.07,-0.0854699,-0.279453,-0.782543,0.549752,-426.722,-6175.94,1722.14,-0.184397,-0.345914,-0.469311,0.791258,562.892,-5800.04,1708.17
1022,0,-0.0927385,-0.384687,-0.295616,0.869498,-34.8419,-5352.47,1630.76,0.72663,-0.117102,0.607899,0.297917,-341.778,-5713.9,1693.67,-0.35162,-0.231704,-0.274701,0.864416,719.442,-5578.23,1649.33,-0.00404924,-0.366845,-0.238939,0.899064,788.644,-5452.48,1610.33,,,,,,,,,,,,,,,-0.294617,-0.546813,-0.45892,0.635287,-338.257,-5921.94,1718.99,0.730162,-0.617757,0.195704,0.216655,-86.9851,-6083.11,1690.16,-0.090342,-0.280817,-0.779692,0.552322,-426.707,-6175.81,1722.45,-0.184897,-0.345417,-0.468292,0.791961,562.963,-5800.26,1708.09
1023,0,-0.0924727,-0.387782,-0.292526,0.869196,-34.88,-5352.41,1630.42,0.701997,-0.148609,0.623966,0.309486,-341.721,-5715.16,1692.45,-0.350852,-0.240205,-0.27522,0.86224,719.115,-5578,1649.14,0.0347025,-0.344282,-0.33395,0.87678,788.841,-5452.29,1611.27,,,,,,,,-0.111066,-0.381067,-0.116975,0.910368,-110.283,-5477.47,1658.17,-0.294671,-0.544202,-0.461029,0.635976,-338.074,-5921.9,1718.83,0.731748,-0.614855,0.197448,0.217974,-86.8976,-6083.05,1690.11,-0.0901117,-0.28079,-0.7785,0.554053,-426.682,-6175.74,1722.81,-0.185254,-0.345901,-0.466927,0.792472,562.955,-5800.09,1708.21
1024,0,-0.0955793,-0.390374,-0.286181,0.869812,-35.1606,-5352.31,1629.59,0.691543,-0.18792,0.618777,0.321821,-346.577,-5722.5,1693.17,-0.350708,-0.241822,-0.274754,0.861996,719.211,-5577.87,1649.25,0.0383294,-0.348309,-0.339503,0.872897,788.348,-5452.72,1611.49,,,,,,,,-0.122799,-0.337384,-0.118017,0.925832,-108.702,-5476.19,1658.23,-0.287547,-0.54578,-0.462562,0.636771,-338.164,-5921.97,1718.62,0.732402,-0.614257,0.193866,0.220662,-86.6672,-6083.03,1690.01,-0.0889102,-0.281208,-0.780071,0.55182,-426.588,-6175.72,1723.07,-0.186102,-0.345613,-0.466268,0.792787,562.899,-5800.08,1708.21
1025,0,-0.100057,-0.391581,-0.282195,0.870068,-35.617,-5352.27,1628.71,0.664409,-0.200691,0.651563,0.306186,-344.621,-5728.16,1688.92,-0.350939,-0.234207,-0.273526,0.864391,719.792,-5577.83,1649.73,0.0503145,-0.373288,-0.337784,0.86257,787.754,-5453.74,1611.35,,,,,,,,-0.12722,-0.330383,-0.123234,0.927079,-108.185,-5475.37,1657.47,-0.285699,-0.544729,-0.463494,0.637825,-338.065,-5921.92,1718.43,0.733398,-0.612867,0.194847,0.220355,-86.71,-6082.8,1690,-0.0892815,-0.280935,-0.780818,0.550843,-426.473,-6175.69,1723.42,-0.187405,-0.344582,-0.466398,0.792853,563.038,-5800.33,1708.13
1026,0,-0.103363,-0.374922,-0.283611,0.876535,-34.9148,-5352.75,1628.92,0.700944,-0.249674,0.659041,0.109568,-346.306,-5728.83,1691.77,-0.35011,-0.23888,-0.274346,0.863188,719.656,-5577.75,1649.76,0.0625779,-0.361359,-0.37085,0.853214,788.525,-5454.71,1613.54,,,,,,,,-0.116053,-0.345644,-0.114317,0.924118,-107.867,-5474.54,1657.26,-0.283965,-0.542972,-0.466036,0.638245,-337.889,-5921.82,1718.27,0.734038,-0.612275,0.191059,0.223168,-86.5767,-6082.74,1689.84,-0.0935798,-0.279876,-0.778481,0.553966,-426.357,-6175.65,1723.75,-0.187207,-0.344823,-0.466547,0.792707,563.072,-5800.37,1708.18
1027,0,-0.0994658,-0.391028,-0.279469,0.871264,-35.2106,-5352.49,1629.21,0.713529,-0.248082,0.642644,0.127829,-344.951,-5725.72,1693.83,-0.349409,-0.236134,-0.274272,0.864251,719.806,-5577.77,1649.95,0.0603333,-0.364035,-0.377898,0.849136,788.285,-5455.04,1613.79,,,,,,,,-0.117905,-0.343645,-0.121518,0.92371,-107.939,-5474.13,1657.11,-0.282254,-0.541133,-0.468817,0.638528,-337.647,-5921.77,1718.11,0.735083,-0.610285,0.181271,0.233122,-86.0565,-6082.33,1689.67,-0.0928707,-0.276603,-0.776324,0.558737,-426.382,-6175.8,1724.31,-0.188937,-0.348589,-0.461594,0.793548,562.925,-5800.05,1708.14
1028,0,-0.0992641,-0.398576,-0.280826,0.867422,-35.256,-5352.38,1628.97,0.735015,-0.23841,0.620671,0.132971,-342.171,-5718.73,1695.72,-0.348266,-0.240772,-0.274437,0.863379,719.357,-5577.71,1649.76,0.060523,-0.369712,-0.384808,0.843548,788.089,-5455.42,1614,,,,,,,,-0.117574,-0.346275,-0.127011,0.922029,-108.091,-5473.47,1657.08,-0.279399,-0.540495,-0.466762,0.641822,-337.529,-5921.64,1718.06,0.736415,-0.607231,0.179182,0.238447,-86.0287,-6082.21,1689.56,-0.0960249,-0.27799,-0.776253,0.557613,-426.305,-6175.43,1724.52,-0.188943,-0.343916,-0.463668,0.794377,563.074,-5800.41,1708.1
1029,0,-0.101688,-0.394213,-0.278941,0.86974,-35.0689,-5352.47,1629.03,0.728473,-0.0562624,0.538466,0.41978,-335.426,-5711.67,1695.72,-0.348573,-0.241773,-0.273746,0.863195,719.313,-5577.67,1649.75,0.0546477,-0.361238,-0.388042,0.846135,788.28,-5455.48,1613.69,,,,,,,,-0.117169,-0.350927,-0.132181,0.919592,-108.382,-5472.85,1657.24,-0.279919,-0.538403,-0.466442,0.643584,-337.237,-5921.55,1717.93,0.738977,-0.606132,0.184892,0.22876,-86.0035,-6082.38,1689.72,-0.0934499,-0.278903,-0.779247,0.553403,-426.467,-6175.23,1724.8,-0.188244,-0.345325,-0.464203,0.793618,563.015,-5800.42,1708.02
